Great to see Arkansans with RLI Services in Fort Smith today. Thanks for stopping by! 
I joined @Morning_Joe on Wednesday to discuss DACA and the RAISE Act. WATCH: 
Don’t miss this week’s newsletter! Sign up here: 
I honored Hurricane Harvey heroes on the Senate floor this week. WATCH: 
Congratulations to Memorial Field in Hot Springs on receiving a DOT grant to improve infrastructure. 
I joined @CBSThisMorning on Wednesday to discuss DACA. WATCH: 
My statement on Senate passage of Hurricane Harvey relief funding: 
On Tuesday I joined @IngrahamAngle to discuss DACA. LISTEN: 
Any legislation to codify DACA must be paired with reform of the green-card system that protects American workers. 
It’s good to see Arkansas veteran and Pearl Harbor hero Joe George receive the recognition he deserves:… 
I joined @BretBaier on @SpecialReport earlier this week to discuss DACA. WATCH: 
Any legislation to codify DACA must be paired with reform of the green-card system that protects American workers. 
On Tuesday I joined @IngrahamAngle to discuss DACA. LISTEN: 
I joined @BretBaier on @SpecialReport earlier this week to discuss DACA. WATCH: 
My statement on Senate passage of Hurricane Harvey relief funding:  
I honored Hurricane Harvey heroes on the Senate floor this week. WATCH: 
Congratulations to Memorial Field in Hot Springs on receiving a DOT grant to improve infrastructure. 
Don’t miss this week’s newsletter! Sign up here: 
I joined @Morning_Joe yesterday to discuss DACA and the RAISE Act. WATCH: 
"Yesterday, I joined @CBSThisMorning to discuss DACA. WATCH: "
Don’t miss this week’s newsletter! Sign up here: 
ICYMI – I joined @hughhewitt yesterday to discuss DACA. LISTEN: 
Listen to my interview on @newsradio1029 yesterday on DACA: 
I joined @IngrahamAngle yesterday to discuss DACA. LISTEN: 
Any legislation to codify DACA must be paired with reform of the green-card system that protects American workers.… 
I honored Hurricane Harvey heroes on the Senate floor yesterday. WATCH: 
My statement on the rescission of DACA: 
I joined @BretBaier on @SpecialReport yesterday. WATCH: 
Ambassador Haley is right to warn that simply holding Iran to the nuclear deal is not enough. 
I joined @Morning_Joe today to discuss DACA and the RAISE Act. WATCH: 
I joined @CBSThisMorning to discuss DACA. WATCH: 
Joining @Morning_Joe shortly. Tune in!
I joined @BretBaier on @SpecialReport tonight. WATCH: 
I honored Hurricane Harvey heroes on the Senate floor this afternoon. WATCH: 
Joining @BretBaier on @SpecialReport shortly. Tune in!
Ambassador Haley is right to warn that simply holding Iran to the nuclear deal is not enough.… 
My statement on the rescission of DACA: 
I joined @IngrahamAngle today to discuss DACA. LISTEN: 
Listen to my interview on @newsradio1029 this morning about DACA: 
ICYMI – I joined @HughHewitt this morning to discuss DACA. LISTEN: 
Joining @IngrahamAngle shortly. Tune in!
Joining @hughhewitt shortly. Tune in!
"Today, we celebrate the American worker, the engine of the American economy. My statement on Labor Day:… "
Cheering on the @ArkRazorbacks as we kick off the 2017 season @WMStadium! #GoHogs
My statement on the closure of three Russian diplomatic facilities in the U.S. 
READ: ‘Senator to students: Participate in politics’ via @TheSenRec 
ICYMI – I joined @RobyBrock on @TBArkansas for a wide-ranging discussion yesterday. WATCH: 
"I appreciate the service of the @arkansasguard. Arkansans support our neighbors in TX and LA, and all those affecte… "
Thanks to the Ouachita River Valley Association for inviting me to give an update at their annual convention in Roy… 
Enjoyed talking with students at @LHSAnnounce about becoming good citizens today. 
Joining @5NEWS live shortly. Tune in! 
Couldn't agree more: 
Great to be with the AIPAC Christian-Jewish Leadership Caucus in Conway today. Thanks for your time. 
"READ: ‘Cotton, FDA commissioner discuss Rx prices, opioids’ via @pbcommercial  "
It was an honor to present military medals to the family of WWII veteran George Anderson. WATCH via @KARK4News 
READ: ‘Daughters finally get dad's WWII service medals’ via @ArkansasOnline 
I am grateful for the service of WWII veteran George Anderson and pleased my office was able to recover his medals.… 
It was an honor to present recovered medals to the family of WWII veteran George Anderson today. We are grateful fo… 
Thanks to the Danville Chamber for inviting me to speak at their annual dinner yesterday. Great to see so many frie… 
Great turnout for the AR Valley Alliance announcement of the ConAgra facility expansion in Russellville. 
Thanks to all who took part in the Community Clinic Health Center Celebration in Springdale last week. 
"READ: ‘Cotton, FDA commissioner discuss Rx prices, opioids’ via @pbcommercial  "
LISTEN to my interview on @newsradio1029 from this morning: 
Great to meet with officers from @HotSpringsPD today. Thanks for your work to keep the community safe. 
I joined @HughHewitt this morning to discuss Afghanistan. LISTEN: 
Joining @hughhewitt shortly. Tune in!
Joining @newsradio1029 shortly. Tune in!
"The president gave a strong speech tonight, and I support his decision on Afghanistan. "
Thanks to @SGottliebFDA for joining me at NCTR in Jefferson this afternoon to meet with employees and learn more ab… 
""
Great to have @USOCC Comptroller Keith Noreika in Little Rock with me to meet with @ArkBankers today. 
"Our men and women in uniform face danger every day, even in peacetime. Thinking and praying for our missing sailors. "
My statement on the jailing of pro-democracy protestors in Hong Kong: 
My statement on the passing of Frank Broyles: 
Russian treaty violations need to have consequences. 
READ my letter to the editor in the @WSJ ‘RAISE Act Will Rationalize Legal Immigration’ 
"I joined @JessiTurnure on @CapitolViewAR yesterday to discuss the RAISE Act, North Korea, and more. WATCH: "
READ my letter to the editor in the @WSJ ‘RAISE Act Will Rationalize Legal Immigration’ 
"I sat down with @KATVChrisMay on @TBArkansas to talk about my immigration legislation, the RAISE Act.  WATCH: "
Russian treaty violations need to have consequences. 
"Today, college football lost one of the greats. My statement on the passing of Frank Broyles:… "
"I sat down with @KATVChrisMay on @TBArkansas to talk about my immigration legislation, the RAISE Act.  WATCH: "
READ my letter to the editor in the @WSJ ‘RAISE Act Will Rationalize Legal Immigration’ 
"I joined @JessiTurnure on @CapitolViewAR this morning to discuss the RAISE Act, North Korea, and more. WATCH: "
My statement on the violence in Charlottesville: 
Don't miss this week's newsletter! Sign up here: 
READ my op-ed in @USATODAY with @sendavidperdue: 'Our immigration plan is pro-worker and pro-growth’ 
I joined @ChrisMayKATV for a discussion about the RAISE Act today. Be sure to tune in to @KATVNews tonight to hear… 
""
"Immigration Anxieties, Then and Now. Good take on the RAISE act and immigration by @wrmead.  "
Great to see so many friends at the Dardanelle Rotary Club lunch today. Thanks for having me! 
READ my op-ed in @USATODAY with @sendavidperdue: 'Our immigration plan is pro-worker and pro-growth’ 
America Deserves a RAISE. More on the RAISE Act: 
The RAISE Act focuses on the needs of working families in reforming our immigration system. 
WATCH the press conference outside the @WhiteHouse on the RAISE Act: 
The RAISE Act would raise working Americans’ wages by giving priority to the best-skilled immigrants. 
"Congratulations to Bank of the Ozarks, Home BancShares, Simmons, and Bear State Bank on being named top-performers: "
WATCH my remarks at the @WhiteHouse on the RAISE Act: 
Joining @jdickerson on @FaceTheNation shortly to discuss the RAISE Act. Tune in!
The RAISE Act would raise working Americans’ wages by giving priority to the best-skilled immigrants.… 
America Deserves a RAISE. More on the RAISE Act: 
ICYMI - I joined @sendavidperdue and @TuckerCarlson to discuss the RAISE Act earlier this week. WATCH: 
The RAISE Act focuses on the needs of working families in reforming our immigration system. 
I talked with @newsradio1029 about immigration and healthcare. LISTEN: 
I joined @Morning_Joe to discuss raising working Americans’ wages by giving priority to the best-skilled immigrants: 
LISTEN to my interview with @hughhewitt from yesterday on the RAISE Act: 
LISTEN to my interview with @IngrahamAngle on the RAISE Act: 
I talked with @ShannonBream on @AmericaNewsroom about my legislation to raise wages for American workers. WATCH: 
I joined @TheLeadCNN yesterday to discuss reforming our immigration system to focus on raising wages for American w… 
My statement on the confirmation of Arkansan Michael Platt as an assistant secretary of Commerce: 
WATCH my remarks at the @WhiteHouse on the RAISE Act: 
"Congratulations to Bank of the Ozarks, Home BancShares, Simmons, and Bear State Bank on being named top-performers: "
LISTEN to my interview with @DaveElswickShow on the RAISE Act: 
LISTEN to my interview with @DaveElswickShow on the RAISE Act: 
My statement on the confirmation of Arkansan Michael Platt as an assistant secretary of Commerce: 
I joined @TheLeadCNN this afternoon to discuss reforming our immigration system to focus on raising wages for Ameri… 
Joining @jaketapper on @TheLeadCNN shortly. Tune in! 
Joining @DocWashburn on @newsradio1029 shortly. Tune in!
Joining @DaveElswickShow on @965FMTheAnswer shortly. Tune in!
Big news! The Cotton Sand Lizards beat team @JohnBoozman &amp; won the Golden Razorback! It's the beginning of a long w… 
I talked with @ShannonBream on @AmericaNewsroom about my legislation to raise wages for American workers. WATCH: 
LISTEN to my interview with @IngrahamAngle on the RAISE Act: 
LISTEN to my interview with @HughHewitt this morning on the RAISE Act: 
I joined @Morning_Joe to discuss raising working Americans’ wages by giving priority to the best-skilled immigrants: 
One more supporter for the RAISE Act! 
I talked with @newsradio1029 this morning about immigration and healthcare. LISTEN: 
Joining @AmericaNewsroom shortly to discuss the RAISE Act. Tune in! 
Joining @IngrahamAngle shortly to discuss the RAISE Act. Tune in!
Joining @newsradio1029 shortly. Tune in!
Joining @morning_joe shortly to discuss the RAISE Act. Tune in! 
Joining @hughhewitt shortly to discuss the RAISE Act. Tune in!
ICYMI - I joined @sendavidperdue and @TuckerCarlson to discuss the RAISE Act tonight. WATCH: 
Joining @TuckerCarlson shortly to discuss the RAISE Act. Tune in!
The RAISE Act would raise working Americans’ wages by giving priority to the best-skilled immigrants.… 
America Deserves a RAISE. More on the RAISE Act: 
The RAISE Act focuses on the needs of working families in reforming our immigration system. 
WATCH the press conference outside the @WhiteHouse earlier on the RAISE Act: 
The RAISE Act would raise working Americans’ wages by giving priority to the best-skilled immigrants. 
WATCH my remarks at the @WhiteHouse on the RAISE Act: 
I joined @sendavidperdue today in introducing the Reforming American Immigration for a Strong Economy Act. MORE: 
""
"My Washington, D.C. office is now seeking fall interns. More info: "
"My Washington, D.C. office is now seeking fall interns. More info: "
Thanks to Reince Priebus for his service to our country. (2/2)
"John Kelly is a great American. Anna and I are proud to call him and his wife, Karen, friends. He's an outstanding choice. (1/2)"
Congratulations to the new Garland County Sherriff’s Deputies. Thanks for your work to keep the county safe. 
READ my op-ed in the @WSJ - 'Repeal the Budget Control Act’ 
Congratulations to Young Children's Home at Chaffee Crossing on a successful dedication yesterday. 
Don’t miss this week’s newsletter! Sign up here: 
Thanks to all who came out for the ribbon cutting of the new Highway 25 bypass in Conway this week. 
READ: “Repeal the CFPB's Anti-Consumer Ban on Mandatory Arbitration Clauses” via @Forbes 
Thanks to Garner and Kathlyn for discussing juvenile diabetes research with me yesterday. 
Thanks to Arkansans with RESULTS for sharing with me about their work to end poverty. 
READ my op-ed in the @WSJ - 'Repeal the Budget Control Act’ 
Thanks to DuShun with the Arkansas MLK Jr. Commission for talking with me about the commission’s work yesterday. 
Congratulations to Staff Sgt. Tasheenia L. Wallace on making history &amp; being the first woman to complete the… 
READ my op-ed in the @WSJ - 'Repeal the Budget Control Act’ 
Glad to meet with members of ACCSES this morning and discuss ways to help those with disabilities. Thanks for your… 
"Thanks to all who came out in Van Buren to learn about Project Lead the Way, a hands-on science and engineering lea… "
.@ArFB recently held a successful officers and leaders conference in Hot Springs. Thanks for your work! 
"READ my op-ed in the @WSJ ""Repeal the Budget Control Act’"" "
Congratulations to Ivy Owen on receiving the 2017 John Lynch Redevelopment Leadership Award for his work at… 
Great turnout for the Linebacker II Memorial Rededication event at Eaker Air Force Base in Blytheville. 
READ: “Repeal the CFPB's Anti-Consumer Ban on Mandatory Arbitration Clauses” via @Forbes 
Jeff Sessions is a good man and a fine Attorney General. Statement: 
""
READ my op-ed in the @WSJ ‘Repeal the Budget Control Act’ 
This vote is the first step toward solving the problems created by Obamacare. Statement: 
Jeff Sessions is a good man and a fine Attorney General. Statement: 
"READ: ""PEARL HARBOR RESCUE: Arkansan's heroics to get due in D.C."" via @ArkansasOnline  "
READ: “Repeal the CFPB's Anti-Consumer Ban on Mandatory Arbitration Clauses” via @Forbes 
I joined @SenCoryGardner in introducing legislation to enhance the U.S.-Taiwan relationship. MORE: 
I joined @newsradio1029 this morning to discuss healthcare and the Taiwan Security Act. LISTEN: 
I joined @SenCoryGardner in introducing legislation today to enhance the U.S.-Taiwan relationship. MORE: 
"READ: ""PEARL HARBOR RESCUE: Arkansan's heroics to get due in D.C."" via @ArkansasOnline  "
""
I joined @RobyBrock on @TBArkansas to discuss healthcare. WATCH: 
Yesterday my colleagues and I filed a resolution disapproving of the CFPB Arbitration Rule: 
My statement on @USDA agreement allowing rice exports to China: 
I had the honor of visiting with USS Arizona survivors yesterday in D.C. WATCH the story via @KARK4News: 
"Great to meet with Taylor, Dean, and Charlie with the National Retail Federation yesterday. Thanks for coming by! "
Thanks to doctoral students from Texarkana for discussing education policy with me today. 
I fully support Mark Esper’s nomination as Army Secretary. Statement: 
My statement on the Iran Deal recertification: 
WATCH my Q&amp;A with General Paul Selva on the INF Treaty from the @SASCMajority hearing earlier this week: 
Thanks to @EPAScottPruitt for coming to visit with Arkansans about #WOTUS this week. 
My statement on @USDA agreement allowing rice exports to China: 
ICYMI – I spoke at @CSIS about the INF Treaty. WATCH: 
It was an honor to meet with USS Arizona survivors today and show these American heroes around the WWII Memorial. 
Today my colleagues and I filed a resolution disapproving of the CFPB Arbitration Rule: 
I joined @RobyBrock on @TBArkansas to discuss healthcare. WATCH: 
I fully support Mark Esper’s nomination as Army Secretary. Statement: 
My statement on the Iran Deal recertification: 
I joined @hughhewitt yesterday to discuss healthcare. LISTEN: 
ICYMI – I joined @newsradio1029 yesterday to discuss healthcare and the two-year anniversary of the Iran Deal: 
I appreciate Arkansas members of the Alliance of Specialty Medicine for discussing regulatory relief with me yester… 
Great to have the next generation of Arkansas’s agriculture in town with Riceland’s Young Farmers program. 
"Thanks to Dean and Michael, McDonalds owners in Arkansas for coming by yesterday. "
"I joined the @IngrahamAngle show yesterday to discuss healthcare, tax reform, and confirmations. LISTEN: "
WATCH my Q&amp;A with General Paul Selva on the INF Treaty from yesterday’s @SASCMajority hearing: 
Thanks to the @USChamber for hosting me for a discussion on the CFPB’s arbitration rule this morning. 
Great to visit with representatives from the Arkansas Hospice and Palliative Care Association about quality care to… 
"I enjoyed meeting Victoria Maloch, a Truman Scholar and @UArkansas grad, today. Keep up the great work! "
ICYMI – I spoke at @CSIS yesterday about the INF Treaty. WATCH: 
WATCH my Q&amp;A with General Paul Selva on the INF Treaty from today’s @SASCmajority hearing: 
"I joined the @IngrahamAngle show today to discuss healthcare, tax reform, and confirmations. LISTEN: "
ICYMI – I joined @newsradio1029 this morning to discuss healthcare and the two-year anniversary of the Iran Deal: 
I joined @hughhewitt this morning to discuss healthcare. LISTEN: 
My statement on the Iran Deal recertification: 
Joining @newsradio1029 shortly. Tune in!
Joining @hughhewitt shortly. Tune in!
"Thanks to Brig. Gen. Keith Klemmer for serving the @arkansasguard honorably, and congratulations on retirement. "
Great to have @FarmBureau members from across the country in Rogers this week for the National Commodity Conference. 
Congratulations to Brig. Gen. John Payne with the @arkansasguard on a successful promotion ceremony.  Thanks for yo… 
ICYMI – I spoke at @CSIS today about the INF Treaty. WATCH: 
""
My statement on the two-year anniversary of Iran Deal: 
"The Iran deal was a foolish mistake from the very start, and it certainly hasn’t improved with age. Statement:… "
Thanks to all who took part in the ribbon cutting for Highway 162 in Alma this week. 
I questioned Secretary of the Navy Nominee Richard Spencer about restoring the secretariat’s credibility among U.S.… 
Don’t miss this week’s newsletter! Sign up here: 
"The CFPB has gone rogue again, abusing its power in a particularly harmful way. My statement: "
I’m grateful my colleagues on the Foreign Relations Committee took the time to learn more about the Taylor Force Act 
ICYMI – I questioned Federal Reserve Chair Janet Yellen on rural banks at today’s @BankingGOP hearing. LISTEN: 
During yesterday’s @SASCMajority hearing I questioned defense nominees on Boeing sales to Iran and the Budget Contr… 
I applaud @NASA's decision to award @UALR two grants for research and development. 
My statement on the death of Liu Xiaobo: 
Great to have so many Arkansas students in town for the 4-H Citizenship Washington Focus this week! 
Thanks to representatives from the Arkansas Association of Drug Court Professionals for talking with me yesterday. 
Thanks to MG Berry for updating me on the AR Guard's deployment schedule. We share admiration for Arkansans answeri… 
I enjoyed visiting with outstanding National Beta Club students and leaders from Arkansas today. Keep up the good w… 
I applaud @NASA's decision to award @UALR two grants for research and development. 
During today’s @SASCmajority hearing I questioned defense nominees on Boeing sales to Iran and the Budget Control A… 
I’m grateful my colleagues on the Foreign Relations Committee took the time to learn more about the Taylor Force Act 
Glad we're no longer turning a blind eye to Kaspersky. ICYMI: I raised this during SSCI open hearing last month… 
"The CFPB has gone rogue again, abusing its power in a particularly harmful way. My statement: "
Don’t miss this week’s newsletter! Sign up here: 
"""Republicans in Congress are pressing Secretary of State Rex Tillerson to change his tune on the Iran deal."" "
I questioned Secretary of the Navy Nominee Richard Spencer about restoring the secretariat’s credibility among U.S.… 
I joined @foxandfriends to discuss why Secretary Tillerson shouldn’t certify Iran’s compliance with the nuclear dea… 
Joining @foxandfriends shortly. Tune in!
Great to meet with @ArFB today. Thanks for your time. 
I appreciate representatives from the Arkansas turkey industry for discussing policy priorities with me today. 
Thanks to representatives from Arkansas Electric Cooperatives for stopping by today. 
"""Republicans in Congress are pressing Secretary of State Rex Tillerson to change his tune on the Iran deal."" "
I joined my colleagues in urging Secretary Tillerson not to certify Iran compliance with the JCPOA. MORE: 
I questioned Secretary of the Navy Nominee Richard Spencer about restoring the secretariat’s credibility among U.S.… 
"I talked with @newsradio1029 this morning about this year’s NDAA, healthcare, and the tragic KC-130 crash in Missis… "
ICYMI – I joined @hughhewitt this morning to discuss healthcare. LISTEN: 
"The CFPB has gone rogue again, abusing its power in a particularly harmful way. My statement:… "
My statement on the loss of 16 service members who died in the KC-130 crash in Mississippi: 
Joining @newsradio1029 shortly. Tune in!
Joining @hughhewitt shortly. Tune in!
READ my op-ed with @SenMikeLee ‘Drones and Federalism’ via @WashTimes 
My statement on the murder of New York City Police Officer Miosotis Familia: 
"Happy Independence Day! I hope you enjoy time with friends and family today, &amp; remember all who have served to ensu… "
I appreciate the quick action of @LRpolice in response to last night's shooting. My prayers are with all involved.
Yesterday I spoke on the Senate floor in honor of Medal of Honor recipient Arthur J. Jackson. WATCH: 
"I remembered Joe Dale Burgess on the Senate floor, an Arkansas veteran who recently died of cancer. WATCH: "
I’m pleased that this year’s NDAA includes provisions to strengthen ties with Taiwan. More: 
My statement on the new Intermediate-Range Missile Included in the NDAA: 
I applaud the FDA's decision to expedite the review of generic drug applications. 
Don’t miss this week’s newsletter! Sign up here: 
"The EPA’s proposed rescission of the “Waters of the U.S.” rule from 2015 is a wise move, and much overdue. "
J. Cody Hiland is the absolute best choice for U.S. Attorney for the Eastern District of Arkansas: 
My statement on House passage of Kate’s Law and anti-Sanctuary City legislation: 
Interested in interning in one of my Arkansas offices this fall? More info: 
My statement on House passage of Kate’s Law and anti-Sanctuary City legislation: 
J. Cody Hiland is the absolute best choice for U.S. Attorney for the Eastern District of Arkansas: 
"The EPA’s proposed rescission of the “Waters of the U.S.” rule from 2015 is a wise move, and much overdue. "
introduced legislation that would give military families with children better support and more flexibility. More: 
I introduced legislation to allow World War II and Korean War veterans to register firearms acquired overseas. More: 
Don’t miss this week’s newsletter! Sign up here: 
I applaud the FDA's announcement that it will expedite the review of generic drug applications. 
My statement on the new Intermediate-Range Missile Included in the NDAA: 
I’m pleased that this year’s NDAA includes provisions to strengthen ties with Taiwan. More: 
Earlier today I spoke on the Senate floor in honor of Medal of Honor recipient Arthur J. Jackson. WATCH: 
"Today I commemorated Joe Dale Burgess on the Senate floor, an Arkansas veteran who recently died of cancer. WATCH: "
I applaud the FDA's announcement that it will expedite the review of generic drug applications. 
Don’t miss this week’s newsletter! Sign up here: 
I introduced legislation to allow World War II and Korean War veterans to register firearms acquired overseas. More: 
WATCH my Q&amp;A from today’s Intel committee hearing on NATO Article 5 and Germany’s defense budget: 
